order_id,order_number,customer_id,store_id,product_id,order_at,quantity,unit_price,line_subtotal_amount,discount_amount,tax_amount,shipping_amount,total_amount,currency_code,order_status
O0000001,ES-202512-28364,C000332,S00014,P000004,2025-09-08T13:28:50,1,339.67,339.67,0.0,71.33,5.55,416.55,EUR,delivered
O0000002,ES-202512-28364,C000332,S00014,P000028,2025-09-08T13:28:50,1,91.58,91.58,0.0,19.23,12.52,123.33,EUR,delivered
O0000003,FR-202509-43823,C000635,S00004,P000245,2025-10-12T10:17:05,1,172.31,172.31,0.0,34.46,5.64,212.41,EUR,delivered
O0000004,FR-202509-43823,C000635,S00004,P000031,2025-10-12T10:17:05,2,33.29,66.58,6.66,11.98,11.34,83.24,EUR,delivered
O0000005,FR-202508-51050,C000635,S00004,P000066,2025-08-09T20:23:41,1,210.01,210.01,10.5,39.9,7.01,246.42,EUR,delivered
O0000006,FR-202305-31333,C000635,S00003,P000138,2025-07-21T08:48:58,2,34.6,69.2,0.0,13.84,5.81,88.85,EUR,delivered
O0000007,FR-202501-16297,C000635,S00004,P000099,2025-12-25T08:22:48,1,59.75,59.75,2.99,11.35,12.75,80.86,EUR,delivered
O0000008,FR-202206-63383,C000635,S00003,P000119,2025-12-12T10:01:37,1,110.71,110.71,0.0,22.14,0.0,132.85,EUR,delivered
O0000009,FR-202206-63383,C000635,S00003,P000219,2025-12-12T10:01:37,4,260.57,1042.28,0.0,208.46,3.69,1254.43,EUR,delivered
O0000010,FR-202206-63383,C000635,S00003,P000010,2025-12-12T10:01:37,2,50.84,101.68,0.0,20.34,6.03,128.05,EUR,delivered
O0000011,NL-202408-27196,C000776,S00010,P000172,2023-12-08T14:02:57,10,226.85,2268.5,340.28,404.93,9.09,2342.24,EUR,delivered
O0000012,NL-202408-27196,C000776,S00010,P000058,2023-12-08T14:02:57,10,52.46,524.6,0.0,110.17,10.89,645.66,EUR,delivered
O0000013,NL-202409-21425,C000776,S00010,P000069,2024-03-03T10:59:18,1,54.95,54.95,0.0,11.54,10.94,77.43,EUR,delivered
O0000014,PL-202408-43557,C000223,S00012,P000216,2025-11-22T09:36:31,1,43.87,43.87,4.39,9.08,5.15,53.71,EUR,delivered
O0000015,PL-202409-91871,C000223,S00012,P000221,2023-01-22T14:32:28,2,109.75,219.5,10.98,47.96,10.66,267.14,EUR,delivered
O0000016,IT-202312-83505,C000612,S00007,P000215,2025-12-24T12:24:10,3,72.19,216.57,0.0,47.65,0.0,264.22,EUR,delivered
O0000017,IT-202312-83505,C000612,S00007,P000055,2025-12-24T12:24:10,1,41.41,41.41,0.0,9.11,0.0,50.52,EUR,delivered
O0000018,IT-202207-66769,C000612,S00007,P000177,2025-12-17T13:21:38,1,89.47,89.47,0.0,19.68,0.0,109.15,EUR,delivered
O0000019,IT-202207-66769,C000612,S00007,P000119,2025-12-17T13:21:38,2,104.71,209.42,0.0,46.07,0.0,255.49,EUR,delivered
O0000020,IT-202501-57381,C000612,S00008,P000172,2025-12-22T11:55:01,1,219.92,219.92,0.0,48.38,10.4,278.7,EUR,delivered
O0000021,IT-202501-57381,C000612,S00008,P000066,2025-12-22T11:55:01,3,215.36,646.08,32.3,135.03,6.33,755.14,EUR,delivered
