product_id,sku,product_name,brand,category,subcategory,unit_cost,list_price,currency_code,launch_date,is_active
P000001,SKU-SPO-00001,PeakMotion Dumbbells,PeakMotion,Sports,Dumbbells,109.92,211.17,EUR,2019-01-27,True
P000002,SKU-APP-00002,StreetMode Cap,StreetMode,Apparel,Cap,46.66,67.84,EUR,2022-10-10,True
P000003,SKU-ELE-00003,ElectraOne Headphones,ElectraOne,Electronics,Headphones,103.34,140.88,EUR,2021-12-19,True
P000004,SKU-SPO-00004,PulseGear Resistance Bands,PulseGear,Sports,Resistance Bands,231.8,340.91,EUR,2025-03-11,True
P000005,SKU-HOM-00005,DailyChef Kettle,DailyChef,Home,Kettle,171.32,268.26,EUR,2019-07-07,True
P000006,SKU-HOM-00006,CleanWave Coffee Maker,CleanWave,Home,Coffee Maker,288.93,392.59,EUR,2024-02-01,True
P000007,SKU-HOM-00007,DailyChef Blender,DailyChef,Home,Blender,112.12,172.77,EUR,2019-10-20,True
P000008,SKU-APP-00008,CasaWear Hoodie,CasaWear,Apparel,Hoodie,22.6,37.78,EUR,2025-03-31,True
P000009,SKU-APP-00009,NordFit Cap,NordFit,Apparel,Cap,67.38,153.28,EUR,2021-07-27,True
P000010,SKU-HOM-00010,DailyChef Vacuum,DailyChef,Home,Vacuum,27.92,48.46,EUR,2025-05-12,True
P000011,SKU-HOM-00011,BrightNest Blender,BrightNest,Home,Blender,109.44,190.12,EUR,2024-02-23,True
P000012,SKU-APP-00012,CasaWear Sneakers,CasaWear,Apparel,Sneakers,27.29,51.93,EUR,2021-12-12,True
P000013,SKU-SPO-00013,PeakMotion Resistance Bands,PeakMotion,Sports,Resistance Bands,60.59,134.35,EUR,2020-07-20,True
P000014,SKU-ELE-00014,NovaTech Headphones,NovaTech,Electronics,Headphones,171.83,194.2,EUR,2023-09-26,True
P000015,SKU-ACC-00015,EverydayCo Backpack,EverydayCo,Accessories,Backpack,19.88,49.5,EUR,2024-12-07,True
P000016,SKU-HOM-00016,HomePro Air Fryer,HomePro,Home,Air Fryer,254.9,312.52,EUR,2025-01-08,True
P000017,SKU-HOM-00017,DailyChef Kettle,DailyChef,Home,Kettle,48.91,67.97,EUR,2024-02-02,True
P000018,SKU-ELE-00018,ZenByte Router,ZenByte,Electronics,Router,731.52,972.29,EUR,2024-09-10,True
P000019,SKU-ELE-00019,ZenByte Router,ZenByte,Electronics,Router,685.92,848.59,EUR,2021-03-25,True
P000020,SKU-APP-00020,UrbanLine Hoodie,UrbanLine,Apparel,Hoodie,62.01,111.82,EUR,2020-04-03,False
P000021,SKU-HOM-00021,HomePro Blender,HomePro,Home,Blender,84.01,123.57,EUR,2019-11-19,True
P000022,SKU-SPO-00022,FitCore Yoga Mat,FitCore,Sports,Yoga Mat,35.68,55.4,EUR,2025-03-01,True
P000023,SKU-APP-00023,StreetMode Sneakers,StreetMode,Apparel,Sneakers,65.83,173.94,EUR,2021-04-03,True
P000024,SKU-SPO-00024,RunPro Sports Bottle,RunPro,Sports,Sports Bottle,100.61,160.08,EUR,2020-05-10,True
